 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2002
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"170130 Aragominas";1;-;1;-;1;1;2;1;3;5;15
"170190 Araguacema";2;2;-;2;-;1;1;1;-;4;13
"170200 Araguaçu";1;-;-;2;2;-;4;3;5;5;22
"170210 Araguaína";170;23;39;106;107;127;181;209;208;156;1326
"170215 Araguanã";-;-;-;-;1;-;-;4;-;3;8
"170220 Araguatins";3;1;-;1;-;5;4;8;19;13;54
"170230 Arapoema";5;2;2;-;2;1;4;4;6;4;30
"170240 Arraias";2;1;1;4;1;1;3;6;6;6;31
"170255 Augustinópolis";31;5;3;2;14;7;10;17;15;5;109
"170270 Aurora do Tocantins";-;-;-;-;-;-;-;-;2;-;2
"170290 Axixá do Tocantins";1;-;-;1;-;-;3;2;4;6;17
"170300 Babaçulândia";2;-;-;1;-;1;1;2;4;9;20
"170307 Barra do Ouro";-;1;1;1;-;2;1;-;-;1;7
"170310 Barrolândia";-;-;-;1;1;1;-;3;5;1;12
"170320 Bernardo Sayão";-;-;-;-;-;1;-;-;1;-;2
"170330 Bom Jesus do Tocantins";-;-;-;-;-;-;-;-;-;1;1
"170360 Brasilândia do Tocantins";-;-;-;1;-;1;-;1;-;-;3
"170370 Brejinho de Nazaré";-;-;1;-;-;2;2;1;4;4;14
"170380 Buriti do Tocantins";1;-;-;-;1;-;-;-;5;1;8
"170382 Cachoeirinha";-;-;-;-;-;-;-;-;3;-;3
"170384 Campos Lindos";1;-;-;1;1;-;2;1;-;3;9
"170386 Cariri do Tocantins";-;1;-;2;-;1;1;-;1;3;9
"170388 Carmolândia";1;-;1;1;1;2;1;-;1;2;10
